patente;reparacion;repuesto;precioRepuesto;precioManoDeObra;estado;
AB000BA;Cambio de pastillas de freno;pastillas de freno;23000;11000;T;
AE355BA;Cambio de aceite y filtro;aceite y filtro;19800;7990;P;
AC001CA;Cambio de Filtro de aire;filtro de aire;11000;5670;T;
AB111BB;Reparacion de Alternador;alternador;16750;5890;T;
AF341JM;Reparacion de tren delantero;tren delantero;56700;23000;P;
AB000BA;Reparacion de arranque;arranque;38000;3800;T;
VXN231;Cambio de amortiguadores;amortiguadores;29990;5670;P;
AE355BA;Cambio de filtro de combustible;filtro de combustible;23000;7990;P;
AB000BA;Recarga de liquido de freno;liquido de freno;6900;2300;T;
AC001CA;Cambio de bujias;bujias;21000;2100;T;
AC300CC;Reparacion de freno;freno;35000;16000;T;
